Наименование,Цена,Ед,Вариант,Артикул,Бренд
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x100x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x150x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x200x250 D500,7967.89,₽/м.куб,1 м.куб (опт),,ГлавСтройБлок
Газоблок ГСБ 625х250х250 D500,7967.89,₽/м.куб,1 м.куб (опт),,ГлавСтройБлок
Газоблок ГСБ 625х300х200 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625x300x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
Газоблок ГСБ 625х400x250 D500,7967.89,₽/м.куб,1 м.куб. (опт),,ГлавСтройБлок
U-Блок ГСБ 500х200х250 D500,330,₽/шт,1 шт,,ГлавСтройБлок
U-Блок ГСБ 500х250х250 D500,360,₽/шт,1 шт,,ГлавСтройБлок
U-Блок ГСБ 500х400х250 D500,450,₽/шт,1 шт,,ГлавСтройБлок
U-Блок ГСБ 500х300х250 D500,390,₽/шт,1 шт,,ГлавСтройБлок
U-Блок ГСБ 500х300х200 D500,369.66,₽/шт,1 шт,,ГлавСтройБлок
Газоблок ВКБлок 625x100x250 D500,136.14,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x100x300 D500,165.68,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x100x300 D500,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x125x250 D500 ,172.58,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x125x250 D500 ,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x150x250 D500 ,201.59,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x150x250 D500 ,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x200x250 D500,272.96,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x200x250 D500,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x250x250 D500,316.43,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x250x250 D500,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x200x300 D500,331.34,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x200x300 D500,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x250x300 D500 ,434.91,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x250x300 D500 ,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x350x250 D500,483.22,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x350x250 D500,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x375x250 D500,517.74,₽/шт,1 шт,,
Газоблок ВКБлок 625x375x250 D500,7229.58,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x400x250 D500,552.25,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
Газоблок ВКБлок 625x400x250 D500,7229.58,₽/м.куб,1 м3 (опт),,ВКБ - Производитель блоков для строительства
"Газоблок ВКБлок 625x100x250 D500 В3,5",140.1,₽/шт,1 шт,,
"Газоблок ВКБлок 625x100x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x100x300 D500 В3,5",168.11,₽/шт,1 шт,,
"Газоблок ВКБлок 625x100x300 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x125x250 D500 В3,5",175.11,₽/шт,1 шт,,
"Газоблок ВКБлок 625x125x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x150x250 D500 В3,5",210.14,₽/шт,1 шт,,
"Газоблок ВКБлок 625x150x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x200x250 D500 В3,5",280.18,₽/шт,1 шт,,
"Газоблок ВКБлок 625x200x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x250x250 D500 В3,5",350.24,₽/шт,1 шт,,
"Газоблок ВКБлок 625x250x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x200x300 D500 В3,5",336.22,₽/шт,1 шт,,
"Газоблок ВКБлок 625x200x300 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x250x300 D500 В3,5",413.79,₽/шт,1 шт,,
"Газоблок ВКБлок 625x250x300 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x350x250 D500 В3,5",490.32,₽/шт,1 шт,,
"Газоблок ВКБлок 625x350x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x375x250 D500 В3,5",525.35,₽/шт,1 шт,,
"Газоблок ВКБлок 625x375x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
"Газоблок ВКБлок 625x400x250 D500 В3,5",560.37,₽/шт,1 шт,,
"Газоблок ВКБлок 625x400x250 D500 В3,5",7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x100x250 D600,144.16,₽/шт,1 шт,,
